"tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"242","العنوان المترجم بمعرفة وحدة الفهرسة ","العنوان المترجم بمعرفة وحدة الفهرسة ","1","0","0","","","","BKA"
"243","العنوان الموحد التجميعى","العنوان الموحد التجميعى","0","0","0","","","","BKA"
"245","بيانات العنوان","بيانات العنوان","0","1","0","","","","BKA"
"246","عنوان موازي ( بلغة أخرى )","عنوان موازي ( بلغة أخرى )","0","0","0","","","","BKA"
"247","العنوان السابق","العنوان السابق","1","0","0","","","","BKA"
"250","بيانات الطبعة","بيانات الطبعة","0","0","0","","","","BKA"
"254","بيان العرض الموسيقى","بيان العرض الموسيقى","0","0","0","","","","BKA"
"255","بيانات جغرافية حسابية","بيانات جغرافية حسابية","1","0","0","","","","BKA"
"256","خصائص ملف الحاسب","خصائص ملف الحاسب","0","0","0","","","","BKA"
"257","بلد الوحدة المنتجة للافلام الارشيفية","بلد الوحدة المنتجة للافلام الارشيفية","0","0","0","","","","BKA"
"258","تاريخ طباعة العدد","تاريخ طباعة العدد","1","0","0","","","","BKA"
"260","بيانات النشر","بيانات النشر","0","0","0","","","","BKA"
"261","بيانات النشر للأفلام (Pre-AACR 1 Revised) [OBSOLETE, CAN/MARC], [LOCAL, USA]","IMPRINT STATEMENT FOR FILMS (Pre-AACR 1 Revised) [OBSOLETE, CAN/MARC], [LOCAL, USA]","0","0","0","","","","BKA"
"262","بيانات النشر لتسجيلات صوتية(Pre-AACR 2) [LOCAL, USA]","IMPRINT STATEMENT FOR SOUND RECORDINGS (Pre-AACR 2) [LOCAL, USA]","0","0","0","","","","BKA"
"263","تاريخ النشر المتوقع","تاريخ النشر المتوقع","0","0","0","","","","BKA"
"265","مصدر التزويد / عناوين الاشتراكات - مهمل","مصدر التزويد / عناوين الاشتراكات - مهمل","0","0","0","","","","BKA"
"270","العنوان","العنوان","1","0","0","","","","BKA"
"300","بيانات الوصف المادي","بيانات الوصف المادي","0","0","0","","","","BKA"
"301","الوصف الببليوجرافى للافلام - مهمل(PRE-AACR 2) (VM) [OBSOLETE, USMARC]","الوصف الببليوجرافى للافلام - مهمل(PRE-AACR 2) (VM) [OBSOLETE, USMARC]","0","0","0","","","","BKA"
"302","حساب المادة أو الصفحة - مهمل","حساب المادة أو الصفحة - مهمل","0","0","0","","","","BKA"
"303","حساب الوحدة - مهمل,USMARC","حساب الوحدة - مهمل,USMARC","0","0","0","","","","BKA"
"304","فلم خطيّ(AM) [OBSOLETE, USMARC]","فلم خطيّ(AM) [OBSOLETE, USMARC]","0","0","0","","","","BKA"
"305","الوصف المادى للتسجيلات الصوتية ( ماقبل قواعد الفهرسة) - [مهمل]","الوصف المادى للتسجيلات الصوتية ( ماقبل قواعد الفهرسة) - [مهمل]","0","0","0","","","","BKA"
